organism,experimental_design,de_gene,log_fc,log_cpm,f,p_value,fdr,id,real_differential_expression
1276135,infect48hXinfect144h,MAN_01266,-1.34057305416415,7.19381277889729,13.2030441263995,0.000279952016811,0.001726257931956,,1
1276135,infect48hXinfect144h,MAN_05725,-1.34145033511706,7.51071684506356,14.9844565914307,0.000108625393289,0.000753653323916,,1
1276135,infect48hXinfect144h,MAN_07294,-1.34221298898775,6.79869844275239,11.1938168847149,0.000821690417414,0.004455300673687,,1
1276135,infect48hXinfect144h,MAN_03612,-1.34408546064217,7.701593505315,15.9529680418644,6.50876169958265E-05,0.000477918362664,,1
1276135,infect48hXinfect144h,MAN_08603,-1.34434166049975,7.68797802573317,15.9461128899881,6.53236323538628E-05,0.000479306277969,,1
1276135,infect48hXinfect144h,MAN_08744,-1.34464484525589,7.05307303320172,12.6232486309026,0.000381551681531,0.002281034935485,,1
1276135,infect48hXinfect144h,MAN_02202,-1.3475527616679,8.57207729159981,20.3986576305886,6.31085739879589E-06,5.84599769394362E-05,,1
1276135,infect48hXinfect144h,MAN_04690,-1.35130894829369,7.77921380533499,16.6241417998491,4.56824298218872E-05,0.000348008699912,,1
1276135,infect48hXinfect144h,MAN_03948,-1.35784043513649,7.0386377050256,12.6702867405992,0.0003720752391,0.002230920260778,,1
1276135,infect48hXinfect144h,MAN_05859,-1.35804176107363,6.91571734401709,12.0965430588897,0.000505855618905,0.002911524524384,,1
1276135,infect48hXinfect144h,MAN_00099,-1.35823308678958,10.8404695833559,26.5637609131955,2.56565209532731E-07,3.08210668082959E-06,,1
1276135,infect48hXinfect144h,MAN_08743,-1.36084365833955,7.47338331412712,15.0828770288242,0.000103108617407,0.000718309282059,,1
1276135,infect48hXinfect144h,MAN_06979,-1.3633834425474,6.50414068075934,9.97149048871001,0.001591371534514,0.007894162587798,,1
1276135,infect48hXinfect144h,MAN_03434,-1.36417718990272,6.55150514217611,10.2633181723574,0.001358403796793,0.006889289071851,,1
1276135,infect48hXinfect144h,MAN_03219,-1.36575709515889,6.81824398073066,11.6900619372235,0.000629167073973,0.00351802356768,,1
1276135,infect48hXinfect144h,MAN_03453,-1.37097033385232,10.7187044461469,26.9944414733638,2.05348388136329E-07,2.51120888561441E-06,,1
1276135,infect48hXinfect144h,MAN_04469,-1.37960330340001,6.55022869403761,10.5166518834361,0.001184303793766,0.006128644344993,,1
1276135,infect48hXinfect144h,MAN_09550,-1.3805134385357,8.2199991779594,19.6772480731698,9.20059626471145E-06,8.25302386137133E-05,,1
1276135,infect48hXinfect144h,MAN_01596,-1.38102847464712,8.40551573673724,20.5887007574461,5.71474606258712E-06,5.35704918127996E-05,,1
1276135,infect48hXinfect144h,MAN_09890,-1.38318512528758,8.46310427731491,20.8964400011847,4.86689968390504E-06,4.63901961459323E-05,,1
1276135,infect48hXinfect144h,MAN_09410,-1.38356705278701,6.59397376900723,10.7255282503761,0.001057848982558,0.00556708037828,,1
1276135,infect48hXinfect144h,MAN_05072,-1.38571642741631,6.63330943839519,11.05814819197,0.000884020967683,0.004760364228829,,1
1276135,infect48hXinfect144h,MAN_10097,-1.38977202821695,8.06206817372335,19.0379909320589,1.28560784371984E-05,0.00011225954108,,1
1276135,infect48hXinfect144h,MAN_09024,-1.39146480213284,7.77749370398797,17.5255553453044,2.84263612980598E-05,0.000227745843581,,1
1276135,infect48hXinfect144h,MAN_00955,-1.39338419497143,6.76320396135472,11.8205907246114,0.00058657219133,0.003305220872583,,1
1276135,infect48hXinfect144h,MAN_04365,-1.39688633730662,6.61100501386257,11.1134581645491,0.000858052352174,0.004625410116186,,1
1276135,infect48hXinfect144h,MAN_05977,-1.40233117570986,6.8698461669569,12.6481509570318,0.000376504842176,0.002254828470557,,1
1276135,infect48hXinfect144h,MAN_00550,-1.40387375896979,6.93696050190615,13.0826371493343,0.000298524849101,0.001829720514414,,1
1276135,infect48hXinfect144h,MAN_02642,-1.40834652016283,6.81436187267699,12.4044825107848,0.000428927995296,0.00252617197104,,1
1276135,infect48hXinfect144h,MAN_09498,-1.42024986844893,6.29589539670607,9.6835048954622,0.001861007366437,0.009038292442998,,1
1276135,infect48hXinfect144h,MAN_03850,-1.42073402049394,8.71644945391109,23.2849733496728,1.40359509834056E-06,1.46672811557125E-05,,1
1276135,infect48hXinfect144h,MAN_04831,-1.42136882781536,8.030658852885,19.646601718057,9.34925007115648E-06,8.36429837506359E-05,,1
1276135,infect48hXinfect144h,MAN_06460,-1.42278664179296,6.99124999029406,13.4941591926326,0.000239715017868,0.001502675763511,,1
1276135,infect48hXinfect144h,MAN_01491,-1.42568440029144,9.28270369591993,25.8981124003844,3.62048539298556E-07,4.22970567274452E-06,,1
1276135,infect48hXinfect144h,MAN_04316,-1.42617950903023,6.26414550675921,9.57868284286995,0.001970271658874,0.009478679551349,,1
1276135,infect48hXinfect144h,MAN_10132,-1.42767438690119,7.38813162050255,16.1305642440702,5.92632348884064E-05,0.000438943887165,,1
1276135,infect48hXinfect144h,MAN_09502,-1.43469146625687,6.53464577385799,11.1988781296056,0.000819453061208,0.004447898760648,,1
1276135,infect48hXinfect144h,MAN_10159,-1.43711179068212,7.40497620954827,16.3082138629155,5.39612569956031E-05,0.000403779060967,,1
1276135,infect48hXinfect144h,MAN_10105,-1.43739934738596,7.35874652146309,16.1125735744988,5.98285690258134E-05,0.000442488452135,,1
